# 글리프 인덱스 → 문자 표 (폰트 시트 $CA:1137 전사)
# docs/04 15앵커 + 오십음도 배열로 카나 확정, 기호·한자는 시트 육안 전사.
# 0x00-0x01=공백, 0x02-0x0B=숫자, 0x10-0x5F=히라가나, 0x60-0xB2=카타카나, 0xE4+=한자
0x000	　
0x001	　
0x002	0
0x003	1
0x004	2
0x005	3
0x006	4
0x007	5
0x008	6
0x009	7
0x00A	8
0x00B	9
0x00C	「
0x00D	」
0x00E	『
0x00F	』
0x010	あ
0x011	い
0x012	う
0x013	え
0x014	お
0x015	か
0x016	き
0x017	く
0x018	け
0x019	こ
0x01A	さ
0x01B	し
0x01C	す
0x01D	せ
0x01E	そ
0x01F	た
0x020	ち
0x021	つ
0x022	て
0x023	と
0x024	な
0x025	に
0x026	ぬ
0x027	ね
0x028	の
0x029	は
0x02A	ひ
0x02B	ふ
0x02C	へ
0x02D	ほ
0x02E	ま
0x02F	み
0x030	む
0x031	め
0x032	も
0x033	や
0x034	ゆ
0x035	よ
0x036	ら
0x037	り
0x038	る
0x039	れ
0x03A	ろ
0x03B	わ
0x03C	を
0x03D	ん
0x03E	っ
0x03F	ぁ
0x040	ぃ
0x041	ぅ
0x042	ぇ
0x043	ぉ
0x044	ゃ
0x045	ゅ
0x046	ょ
0x047	が
0x048	ぎ
0x049	ぐ
0x04A	げ
0x04B	ご
0x04C	ざ
0x04D	じ
0x04E	ず
0x04F	ぜ
0x050	ぞ
0x051	だ
0x052	ぢ
0x053	づ
0x054	で
0x055	ど
0x056	ば
0x057	び
0x058	ぶ
0x059	べ
0x05A	ぼ
0x05B	ぱ
0x05C	ぴ
0x05D	ぷ
0x05E	ぺ
0x05F	ぽ
0x060	ア
0x061	イ
0x062	ウ
0x063	エ
0x064	オ
0x065	カ
0x066	キ
0x067	ク
0x068	ケ
0x069	コ
0x06A	サ
0x06B	シ
0x06C	ス
0x06D	セ
0x06E	ソ
0x06F	タ
0x070	チ
0x071	ツ
0x072	テ
0x073	ト
0x074	ナ
0x075	ニ
0x076	ヌ
0x077	ネ
0x078	ノ
0x079	ハ
0x07A	ヒ
0x07B	フ
0x07C	ヘ
0x07D	ホ
0x07E	マ
0x07F	ミ
0x080	ム
0x081	メ
0x082	モ
0x083	ヤ
0x084	ユ
0x085	ヨ
0x086	ラ
0x087	リ
0x088	ル
0x089	レ
